year,name,team,first_team_votes,second_team_votes,total_score,max_possible_score,scaled_score
2021-22,Scottie Barnes,1,100,,200,200,1.00
2021-22,Cade Cunningham,1,100,,200,200,1.00
2021-22,Evan Mobley,1,100,,200,200,1.00
2021-22,Franz Wagner,1,84,15,183,200,0.92
2021-22,Jalen Green,1,58,42,158,200,0.79
2021-22,Herbert Jones,2,32,59,123,200,0.62
2021-22,Josh Giddey,2,24,74,122,200,0.61
2021-22,Bones Hyland,2,0,81,81,200,0.41
2021-22,Ayo Dosunmu,2,2,71,75,200,0.38
2021-22,Chris Duarte,2,0,52,52,200,0.26
2020-21,LaMelo Ball,1,99,,198,200,0.99
2020-21,Saddiq Bey,1,63,36,162,200,0.81
2020-21,Anthony Edwards,1,99,,198,200,0.99
2020-21,Tyrese Haliburton,1,98,1,197,200,0.99
2020-21,Jae'Sean Tate,1,57,40,154,200,0.77
2020-21,Desmond Bane,2,9,70,88,200,0.44
2020-21,Isaac Okoro,2,1,51,53,200,0.27
2020-21,Immanuel Quickley,2,51,46,148,200,0.74
2020-21,Isaiah Stewart,2,8,55,71,200,0.36
2020-21,Patrick Williams,2,2,46,50,200,0.25
2019-20,Ja Morant,1,100,,200,200,1.00
2019-20,Kendrick Nunn,1,98,1,197,200,0.99
2019-20,Brandon Clarke,1,92,5,189,200,0.95
2019-20,Zion Williamson,1,87,2,176,200,0.88
2019-20,Eric Paschall,1,28,60,116,200,0.58
2019-20,Tyler Herro,2,23,69,115,200,0.58
2019-20,Terence Davis,2,30,36,96,200,0.48
2019-20,Coby White,2,8,74,90,200,0.45
2019-20,P.J. Washington,2,8,72,88,200,0.44
2019-20,Rui Hachimura,2,10,54,74,200,0.37
2018-19,Luka Dončić,1,100,,200,200,1.00
2018-19,Trae Young,1,100,,200,200,1.00
2018-19,Deandre Ayton,1,95,5,195,200,0.98
2018-19,Jaren Jackson,1,60,39,159,200,0.80
2018-19,Marvin Bagley,1,56,44,156,200,0.78
2018-19,Shai Gilgeous-Alexander,2,40,58,138,200,0.69
2018-19,Collin Sexton,2,39,54,132,200,0.66
2018-19,Landry Shamet,2,3,79,85,200,0.43
2018-19,Mitchell Robinson,2,3,71,77,200,0.39
2018-19,Kevin Huerter,2,1,43,45,200,0.23
2017-18,Donovan Mitchell,1,100,,200,200,1.00
2017-18,Ben Simmons,1,100,,200,200,1.00
2017-18,Jayson Tatum,1,99,1,199,200,1.00
2017-18,Kyle Kuzma,1,93,7,193,200,0.97
2017-18,Lauri Markkanen,1,76,21,173,200,0.87
2017-18,Dennis Smith,2,9,78,96,200,0.48
2017-18,Lonzo Ball,2,7,73,87,200,0.44
2017-18,John Collins,2,5,66,76,200,0.38
2017-18,Bogdan Bogdanović,2,6,63,75,200,0.38
2017-18,Josh Jackson,2,1,43,45,200,0.23
2016-17,Malcolm Brogdon,1,100,,200,200,1.00
2016-17,Dario Šarić,1,100,,200,200,1.00
2016-17,Joel Embiid,1,82,7,171,200,0.86
2016-17,Buddy Hield,1,63,28,154,200,0.77
2016-17,Willy Hernangómez,1,44,40,128,200,0.64
2016-17,Jamal Murray,2,34,55,123,200,0.62
2016-17,Jaylen Brown,2,24,58,106,200,0.53
2016-17,Marquese Chriss,2,20,51,91,200,0.46
2016-17,Brandon Ingram,2,11,61,83,200,0.42
2016-17,Yogi Ferrell,2,7,49,63,200,0.32
2015-16,Karl-Anthony Towns,1,130,,260,260,1.00
2015-16,Kristaps Porziņģis,1,130,,260,260,1.00
2015-16,Devin Booker,1,103,25,231,260,0.89
2015-16,Nikola Jokić,1,73,40,186,260,0.72
2015-16,Jahlil Okafor,1,71,44,186,260,0.72
2015-16,Justise Winslow,2,44,63,151,260,0.58
2015-16,D'Angelo Russell,2,25,92,142,260,0.55
2015-16,Emmanuel Mudiay,2,35,70,140,260,0.54
2015-16,Myles Turner,2,28,83,139,260,0.53
2015-16,Willie Cauley-Stein,2,2,46,50,260,0.19
2014-15,Andrew Wiggins,1,130,,260,260,1.00
2014-15,Nikola Mirotić,1,128,2,258,260,0.99
2014-15,Nerlens Noel,1,125,2,252,260,0.97
2014-15,Elfrid Payton,1,121,8,250,260,0.96
2014-15,Jordan Clarkson,1,74,52,200,260,0.77
2014-15,Marcus Smart,2,28,86,142,260,0.55
2014-15,Zach LaVine,2,22,91,135,260,0.52
2014-15,Bojan Bogdanović,2,7,93,107,260,0.41
2014-15,Jusuf Nurkić,2,3,91,97,260,0.37
2014-15,Langston Galloway,2,7,58,72,260,0.28
2013-14,Michael Carter-Williams,1,,,250,250,1.00
2013-14,Victor Oladipo,1,,,248,250,0.99
2013-14,Trey Burke,1,,,230,250,0.92
2013-14,Mason Plumlee,1,,,214,250,0.86
2013-14,Tim Hardaway,1,,,204,250,0.82
2013-14,Kelly Olynyk,2,,,119,250,0.48
2013-14,Giannis Antetokounmpo,2,,,116,250,0.46
2013-14,Gorgui Dieng,2,,,96,250,0.38
2013-14,Cody Zeller,2,,,67,250,0.27
2013-14,Steven Adams,2,,,65,250,0.26
2012-13,Harrison Barnes,1,18,11,47,58,0.81
2012-13,Bradley Beal,1,28,1,57,58,0.98
2012-13,Anthony Davis,1,28,1,57,58,0.98
2012-13,Damian Lillard,1,29,,58,58,1.00
2012-13,Dion Waiters,1,21,8,50,58,0.86
2012-13,Andre Drummond,2,10,15,35,58,0.60
2012-13,Michael Kidd-Gilchrist,2,3,23,29,58,0.50
2012-13,Kyle Singler,2,1,15,17,58,0.29
2012-13,Jonas Valančiūnas,2,6,19,31,58,0.53
2012-13,Tyler Zeller,2,3,9,15,58,0.26
2011-12,Kenneth Faried,1,19,8,46,58,0.79
2011-12,Kyrie Irving,1,29,,58,58,1.00
2011-12,Ricky Rubio,1,21,7,49,58,0.84
2011-12,Klay Thompson,1,16,11,43,58,0.74
2011-12,Brandon Knight,1,13,14,40,58,0.69
2011-12,Kawhi Leonard,1,14,12,40,58,0.69
2011-12,MarShon Brooks,2,3,12,18,58,0.31
2011-12,Chandler Parsons,2,10,13,33,58,0.57
2011-12,Isaiah Thomas,2,5,17,27,58,0.47
2011-12,Tristan Thompson,2,2,12,16,58,0.28
2011-12,Derrick Williams,2,2,12,16,58,0.28
2010-11,DeMarcus Cousins,1,,,,,
2010-11,Landry Fields,1,,,,,
2010-11,Blake Griffin,1,,,,,
2010-11,Gary Neal,1,,,,,
2010-11,John Wall,1,,,,,
2010-11,Eric Bledsoe,2,,,,,
2010-11,Derrick Favors,2,,,,,
2010-11,Paul George,2,,,,,
2010-11,Wesley Johnson,2,,,,,
2010-11,Greg Monroe,2,,,,,
2009-10,Darren Collison,1,20,6,46,58,0.79
2009-10,Stephen Curry,1,29,,58,58,1.00
2009-10,Tyreke Evans,1,29,,58,58,1.00
2009-10,Taj Gibson,1,15,11,41,58,0.71
2009-10,Brandon Jennings,1,29,,58,58,1.00
2009-10,DeJuan Blair,2,6,18,30,58,0.52
2009-10,Jonny Flynn,2,4,14,22,58,0.38
2009-10,James Harden,2,4,14,22,58,0.38
2009-10,Jonas Jerebko,2,2,18,22,58,0.38
2009-10,Marcus Thornton,2,6,19,31,58,0.53
2008-09,Michael Beasley,1,,,,,
2008-09,Brook Lopez,1,,,,,
2008-09,O.J. Mayo,1,,,,,
2008-09,Derrick Rose,1,,,,,
2008-09,Russell Westbrook,1,,,,,
2008-09,Mario Chalmers,2,,,,,
2008-09,Marc Gasol,2,,,,,
2008-09,Eric Gordon,2,,,,,
2008-09,Kevin Love,2,,,,,
2008-09,D.J. Augustin,2,,,,,
2008-09,Rudy Fernández,2,,,,,
2007-08,Kevin Durant,1,,,,,
2007-08,Jeff Green,1,,,,,
2007-08,Al Horford,1,,,,,
2007-08,Luis Scola,1,,,,,
2007-08,Al Thornton,1,,,,,
2007-08,Carl Landry,2,,,,,
2007-08,Jamario Moon,2,,,,,
2007-08,Juan Carlos Navarro,2,,,,,
2007-08,Rodney Stuckey,2,,,,,
2007-08,Thaddeus Young,2,,,,,
2006-07,Andrea Bargnani,1,,,,,
2006-07,Randy Foye,1,,,,,
2006-07,Rudy Gay,1,,,,,
2006-07,Brandon Roy,1,,,,,
2006-07,LaMarcus Aldridge,1,,,,,
2006-07,Jorge Garbajosa,1,,,,,
2006-07,Paul Millsap,2,,,,,
2006-07,Adam Morrison,2,,,,,
2006-07,Craig Smith,2,,,,,
2006-07,Tyrus Thomas,2,,,,,
2006-07,Walter Herrmann,2,,,,,
2006-07,Rajon Rondo,2,,,,,
2005-06,Andrew Bogut,1,,,,,
2005-06,Channing Frye,1,,,,,
2005-06,Chris Paul,1,,,,,
2005-06,Charlie Villanueva,1,,,,,
2005-06,Deron Williams,1,,,,,
2005-06,Raymond Felton,2,,,,,
2005-06,Ryan Gomes,2,,,,,
2005-06,Danny Granger,2,,,,,
2005-06,Luther Head,2,,,,,
2005-06,Marvin Williams,2,,,,,
2004-05,Luol Deng,1,,,,,
2004-05,Ben Gordon,1,,,,,
2004-05,Dwight Howard,1,,,,,
2004-05,Andre Iguodala,1,,,,,
2004-05,Emeka Okafor,1,,,,,
2004-05,Josh Childress,2,,,,,
2004-05,Al Jefferson,2,,,,,
2004-05,Nenad Krstić,2,,,,,
2004-05,Jameer Nelson,2,,,,,
2004-05,Josh Smith,2,,,,,
2003-04,Carmelo Anthony,1,,,,,
2003-04,Chris Bosh,1,,,,,
2003-04,Kirk Hinrich,1,,,,,
2003-04,LeBron James,1,,,,,
2003-04,Dwyane Wade,1,,,,,
2003-04,Marquis Daniels,2,,,,,
2003-04,T.J. Ford,2,,,,,
2003-04,Udonis Haslem,2,,,,,
2003-04,Jarvis Hayes,2,,,,,
2003-04,Josh Howard,2,,,,,
2002-03,Caron Butler,1,,,,,
2002-03,Drew Gooden,1,,,,,
2002-03,Nenê Hilário,1,,,,,
2002-03,Yao Ming,1,,,,,
2002-03,Amar'e Stoudemire,1,,,,,
2002-03,Carlos Boozer,2,,,,,
2002-03,J.R. Bremer,2,,,,,
2002-03,Manu Ginóbili,2,,,,,
2002-03,Gordan Giriček,2,,,,,
2002-03,Jay Williams,2,,,,,
2001-02,Shane Battier,1,,,,,
2001-02,Pau Gasol,1,,,,,
2001-02,Andrei Kirilenko,1,,,,,
2001-02,Tony Parker,1,,,,,
2001-02,Jason Richardson,1,,,,,
2001-02,Eddie Griffin,2,,,,,
2001-02,Richard Jefferson,2,,,,,
2001-02,Željko Rebrača,2,,,,,
2001-02,Jamaal Tinsley,2,,,,,
2001-02,Joe Johnson,2,,,,,
2001-02,Vladimir Radmanović,2,,,,,
2000-01,Marc Jackson,1,,,,,
2000-01,Kenyon Martin,1,,,,,
2000-01,Darius Miles,1,,,,,
2000-01,Mike Miller,1,,,,,
2000-01,Morris Peterson,1,,,,,
2000-01,Courtney Alexander,2,,,,,
2000-01,Marcus Fizer,2,,,,,
2000-01,Desmond Mason,2,,,,,
2000-01,Chris Mihm,2,,,,,
2000-01,Hedo Türkoğlu,2,,,,,
1999-00,Elton Brand,1,,,,,
1999-00,Steve Francis,1,,,,,
1999-00,Andre Miller,1,,,,,
1999-00,Lamar Odom,1,,,,,
1999-00,Wally Szczerbiak,1,,,,,
1999-00,Metta World Peace,2,,,,,
1999-00,Chucky Atkins,2,,,,,
1999-00,Shawn Marion,2,,,,,
1999-00,James Posey,2,,,,,
1999-00,Jason Terry,2,,,,,
1998-99,Mike Bibby,1,,,,,
1998-99,Vince Carter,1,,,,,
1998-99,Matt Harpring,1,,,,,
1998-99,Paul Pierce,1,,,,,
1998-99,Jason Williams,1,,,,,
1998-99,Michael Dickerson,2,,,,,
1998-99,Michael Doleac,2,,,,,
1998-99,Antawn Jamison,2,,,,,
1998-99,Cuttino Mobley,2,,,,,
1998-99,Michael Olowokandi,2,,,,,
1997-98,Tim Duncan,1,,,,,
1997-98,Zydrunas Ilgauskas,1,,,,,
1997-98,Brevin Knight,1,,,,,
1997-98,Ron Mercer,1,,,,,
1997-98,Keith Van Horn,1,,,,,
1997-98,Derek Anderson,2,,,,,
1997-98,Cedric Henderson,2,,,,,
1997-98,Bobby Jackson,2,,,,,
1997-98,Maurice Taylor,2,,,,,
1997-98,Tim Thomas,2,,,,,
1996-97,Shareef Abdur-Rahim,1,,,,,
1996-97,Marcus Camby,1,,,,,
1996-97,Allen Iverson,1,,,,,
1996-97,Stephon Marbury,1,,,,,
1996-97,Antoine Walker,1,,,,,
1996-97,Ray Allen,2,,,,,
1996-97,Kobe Bryant,2,,,,,
1996-97,Kerry Kittles,2,,,,,
1996-97,Travis Knight,2,,,,,
1996-97,Matt Maloney,2,,,,,
1995-96,Antonio McDyess,1,,,,,
1995-96,Joe Smith,1,,,,,
1995-96,Jerry Stackhouse,1,,,,,
1995-96,Damon Stoudamire,1,,,,,
1995-96,Michael Finley,1,,,,,
1995-96,Arvydas Sabonis,1,,,,,
1995-96,Brent Barry,2,,,,,
1995-96,Tyus Edney,2,,,,,
1995-96,Kevin Garnett,2,,,,,
1995-96,Bryant Reeves,2,,,,,
1995-96,Rasheed Wallace,2,,,,,
1994-95,Brian Grant,1,,,,,
1994-95,Grant Hill,1,,,,,
1994-95,Eddie Jones,1,,,,,
1994-95,Jason Kidd,1,,,,,
1994-95,Glenn Robinson,1,,,,,
1994-95,Juwan Howard,2,,,,,
1994-95,Eric Montross,2,,,,,
1994-95,Wesley Person,2,,,,,
1994-95,Jalen Rose,2,,,,,
1994-95,Donyell Marshall,2,,,,,
1994-95,Sharone Wright,2,,,,,
1993-94,Vin Baker,1,,,,,
1993-94,Anfernee Hardaway,1,,,,,
1993-94,Jamal Mashburn,1,,,,,
1993-94,Isaiah Rider,1,,,,,
1993-94,Chris Webber,1,,,,,
1993-94,Shawn Bradley,2,,,,,
1993-94,Lindsey Hunter,2,,,,,
1993-94,Toni Kukoč,2,,,,,
1993-94,Dino Radja,2,,,,,
1993-94,Nick Van Exel,2,,,,,
1992-93,LaPhonso Ellis,1,,,,,
1992-93,Tom Gugliotta,1,,,,,
1992-93,Christian Laettner,1,,,,,
1992-93,Alonzo Mourning,1,,,,,
1992-93,Shaquille O'Neal,1,,,,,
1992-93,Richard Dumas,2,,,,,
1992-93,Robert Horry,2,,,,,
1992-93,Latrell Sprewell,2,,,,,
1992-93,Clarence Weatherspoon,2,,,,,
1992-93,Walt Williams,2,,,,,
1991-92,Stacey Augmon,1,,,,,
1991-92,Larry Johnson,1,,,,,
1991-92,Dikembe Mutombo,1,,,,,
1991-92,Billy Owens,1,,,,,
1991-92,Steve Smith,1,,,,,
1991-92,Terrell Brandon,2,,,,,
1991-92,Rick Fox,2,,,,,
1991-92,Mark Macon,2,,,,,
1991-92,Stanley Roberts,2,,,,,
1991-92,Larry Stewart,2,,,,,
1990-91,Dee Brown,1,,,,,
1990-91,Derrick Coleman,1,,,,,
1990-91,Kendall Gill,1,,,,,
1990-91,Dennis Scott,1,,,,,
1990-91,Lionel Simmons,1,,,,,
1990-91,Mahmoud Abdul-Rauf,2,,,,,
1990-91,Willie Burton,2,,,,,
1990-91,Travis Mays,2,,,,,
1990-91,Gary Payton,2,,,,,
1990-91,Felton Spencer,2,,,,,
1989-90,Vlade Divac,1,,,,,
1989-90,Sherman Douglas,1,,,,,
1989-90,Tim Hardaway,1,,,,,
1989-90,Pooh Richardson,1,,,,,
1989-90,David Robinson,1,,,,,
1989-90,Blue Edwards,2,,,,,
1989-90,Sean Elliott,2,,,,,
1989-90,Stacey King,2,,,,,
1989-90,J.R. Reid,2,,,,,
1989-90,Glen Rice,2,,,,,
1988-89,Willie Anderson,1,,,,,
1988-89,Hersey Hawkins,1,,,,,
1988-89,Mitch Richmond,1,,,,,
1988-89,Charles Smith,1,,,,,
1988-89,Rik Smits,1,,,,,
1988-89,Rex Chapman,2,,,,,
1988-89,Kevin Edwards,2,,,,,
1988-89,Chris Morris,2,,,,,
1988-89,Brian Shaw,2,,,,,
1988-89,Rod Strickland,2,,,,,
1987-88,Greg Anderson,1,,,,,
1987-88,Armen Gilliam,1,,,,,
1987-88,Mark Jackson,1,,,,,
1987-88,Derrick McKey,1,,,,,
1987-88,Kenny Smith,1,,,,,
1986-87,Brad Daugherty,1,,,,,
1986-87,Ron Harper,1,,,,,
1986-87,Chuck Person,1,,,,,
1986-87,Roy Tarpley,1,,,,,
1986-87,Hot Rod Williams,1,,,,,
1985-86,Joe Dumars,1,,,,,
1985-86,Patrick Ewing,1,,,,,
1985-86,Karl Malone,1,,,,,
1985-86,Xavier McDaniel,1,,,,,
1985-86,Charles Oakley,1,,,,,
1984-85,Charles Barkley,1,,,,,
1984-85,Sam Bowie,1,,,,,
1984-85,Michael Jordan,1,,,,,
1984-85,Hakeem Olajuwon,1,,,,,
1984-85,Sam Perkins,1,,,,,
1983-84,Jeff Malone,1,,,,,
1983-84,Ralph Sampson,1,,,,,
1983-84,Byron Scott,1,,,,,
1983-84,Steve Stipanovich,1,,,,,
1983-84,Thurl Bailey,1,,,,,
1983-84,Darrell Walker,1,,,,,
1982-83,Terry Cummings,1,,,,,
1982-83,Quintin Dailey,1,,,,,
1982-83,Clark Kellogg,1,,,,,
1982-83,Dominique Wilkins,1,,,,,
1982-83,James Worthy,1,,,,,
1981-82,Jeff Ruland,1,,,,,
1981-82,Isiah Thomas,1,,,,,
1981-82,Kelly Tripucka,1,,,,,
1981-82,Jay Vincent,1,,,,,
1981-82,Buck Williams,1,,,,,
1980-81,Joe Barry Carroll,1,,,,,
1980-81,Darrell Griffith,1,,,,,
1980-81,Kevin McHale,1,,,,,
1980-81,Kelvin Ransey,1,,,,,
1980-81,Larry Smith,1,,,,,
1979-80,Larry Bird,1,,,,,
1979-80,Bill Cartwright,1,,,,,
1979-80,Dave Greenwood,1,,,,,
1979-80,Magic Johnson,1,,,,,
1979-80,Calvin Natt,1,,,,,
1978-79,Ron Brewer,1,,,,,
1978-79,Phil Ford,1,,,,,
1978-79,Reggie Theus,1,,,,,
1978-79,Mychal Thompson,1,,,,,
1978-79,Terry Tyler,1,,,,,
1977-78,Walter Davis,1,,,,,
1977-78,Marques Johnson,1,,,,,
1977-78,Bernard King,1,,,,,
1977-78,Norm Nixon,1,,,,,
1977-78,Jack Sikma,1,,,,,
1976-77,Adrian Dantley,1,,,,,
1976-77,Mitch Kupchak,1,,,,,
1976-77,Ron Lee,1,,,,,
1976-77,John Lucas,1,,,,,
1976-77,Scott May,1,,,,,
1975-76,Alvan Adams,1,,,,,
1975-76,Lionel Hollins,1,,,,,
1975-76,Joe Meriweather,1,,,,,
1975-76,John Shumate,1,,,,,
1975-76,Gus Williams,1,,,,,
1975-76,Ticky Burden,1,,,,,
1975-76,M.L. Carr,1,,,,,
1975-76,Kim Hughes,1,,,,,
1975-76,Mark Olberding,1,,,,,
1975-76,David Thompson,1,,,,,
1974-75,Tom Burleson,1,,,,,
1974-75,John Drew,1,,,,,
1974-75,Scott Wedman,1,,,,,
1974-75,Jamaal Wilkes,1,,,,,
1974-75,Brian Winters,1,,,,,
1974-75,Marvin Barnes,1,,,,,
1974-75,Gus Gerard,1,,,,,
1974-75,Bobby Jones,1,,,,,
1974-75,Billy Knight,1,,,,,
1974-75,Moses Malone,1,,,,,
1973-74,Mike Bantom,1,,,,,
1973-74,Ron Behagen,1,,,,,
1973-74,John Brown,1,,,,,
1973-74,Ernie DiGregorio,1,,,,,
1973-74,Nick Weatherspoon,1,,,,,
1973-74,Mike Green,1,,,,,
1973-74,Larry Kenon,1,,,,,
1973-74,Bo Lamar,1,,,,,
1973-74,Swen Nater,1,,,,,
1973-74,John Williamson,1,,,,,
1972-73,Freddie Boyd,1,,,,,
1972-73,Dwight Davis,1,,,,,
1972-73,Bob McAdoo,1,,,,,
1972-73,Lloyd Neal,1,,,,,
1972-73,Jim Price,1,,,,,
1972-73,Jim Chones,1,,,,,
1972-73,George Gervin,1,,,,,
1972-73,James Silas,1,,,,,
1972-73,Brian Taylor,1,,,,,
1972-73,Dennis Wuycik,1,,,,,
1971-72,Austin Carr,1,,,,,
1971-72,Phil Chenier,1,,,,,
1971-72,Clifford Ray,1,,,,,
1971-72,Elmore Smith,1,,,,,
1971-72,Sidney Wicks,1,,,,,
1971-72,Julius Erving,1,,,,,
1971-72,Artis Gilmore,1,,,,,
1971-72,George McGinnis,1,,,,,
1971-72,Johnny Neumann,1,,,,,
1971-72,John Roche,1,,,,,
1970-71,Dave Cowens,1,,,,,
1970-71,Bob Lanier,1,,,,,
1970-71,Pete Maravich,1,,,,,
1970-71,Calvin Murphy,1,,,,,
1970-71,Geoff Petrie,1,,,,,
1970-71,Joe Hamilton,1,,,,,
1970-71,Dan Issel,1,,,,,
1970-71,Wendell Ladner,1,,,,,
1970-71,Sam Robinson,1,,,,,
1970-71,Charlie Scott,1,,,,,
1969-70,Kareem Abdul-Jabbar,1,,,,,
1969-70,Bob Dandridge,1,,,,,
1969-70,Mike Davis,1,,,,,
1969-70,Dick Garrett,1,,,,,
1969-70,Jo Jo White,1,,,,,
1969-70,Mike Barrett,1,,,,,
1969-70,John Brisker,1,,,,,
1969-70,Mack Calvin,1,,,,,
1969-70,Spencer Haywood,1,,,,,
1969-70,Willie Wise,1,,,,,
1968-69,Gary Gregor,1,,,,,
1968-69,Art Harris,1,,,,,
1968-69,Elvin Hayes,1,,,,,
1968-69,Bill Hewitt,1,,,,,
1968-69,Wes Unseld,1,,,,,
1968-69,Ron Boone,1,,,,,
1968-69,Warren Jabali,1,,,,,
1968-69,Larry Miller,1,,,,,
1968-69,Gene Moore,1,,,,,
1968-69,Walt Piatkowski,1,,,,,
1967-68,Walt Frazier,1,,,,,
1967-68,Phil Jackson,1,,,,,
1967-68,Earl Monroe,1,,,,,
1967-68,Bob Rule,1,,,,,
1967-68,Al Tucker,1,,,,,
1967-68,Louie Dampier,1,,,,,
1967-68,Mel Daniels,1,,,,,
1967-68,Jimmy Jones,1,,,,,
1967-68,Bob Netolicky,1,,,,,
1967-68,Trooper Washington,1,,,,,
1966-67,Dave Bing,1,,,,,
1966-67,Lou Hudson,1,,,,,
1966-67,Jack Marin,1,,,,,
1966-67,Erwin Mueller,1,,,,,
1966-67,Cazzie Russell,1,,,,,
1965-66,Rick Barry,1,,,,,
1965-66,Billy Cunningham,1,,,,,
1965-66,Fred Hetzel,1,,,,,
1965-66,Dick Van Arsdale,1,,,,,
1965-66,Tom Van Arsdale,1,,,,,
1964-65,Jim Barnes,1,,,,,
1964-65,Luke Jackson,1,,,,,
1964-65,Howard Komives,1,,,,,
1964-65,Willis Reed,1,,,,,
1964-65,Joe Caldwell,1,,,,,
1964-65,Wali Jones,1,,,,,
1963-64,Art Heyman,1,,,,,
1963-64,Gus Johnson,1,,,,,
1963-64,Jerry Lucas,1,,,,,
1963-64,Rod Thorn,1,,,,,
1963-64,Nate Thurmond,1,,,,,
1962-63,Zelmo Beaty,1,,,,,
1962-63,Dave DeBusschere,1,,,,,
1962-63,Terry Dischinger,1,,,,,
1962-63,John Havlicek,1,,,,,
1962-63,Chet Walker,1,,,,,