year,name,pick,college,seasons,g,ws_48,bpm,vorp
2016,Ivica Zubac,32,,7,434,.174,0.2,5.1
2016,Cheick Diallo,33,Kansas,5,183,.139,-1.4,0.3
2016,Tyler Ulis,34,Kentucky,3,133,.008,-3.6,-1.1
2016,Rade Zagorac,35,,,,,,
2016,Malcolm Brogdon,36,Virginia,7,400,.122,1.4,10.0
2016,Chinanu Onuaku,37,Louisville,2,6,.043,-5.4,-0.1
2016,Patrick McCaw,38,UNLV,5,199,.062,-2.8,-0.6
2016,David Michineau,39,,,,,,
2016,Diamond Stone,40,Maryland,1,7,-.211,-20.8,-0.1
2016,Stephen Zimmerman,41,UNLV,1,19,-.005,-8.3,-0.2
2016,Isaiah Whitehead,42,Seton Hall,2,89,-.025,-5.0,-1.4
2016,Zhou Qi,43,,2,19,-.093,-9.6,-0.2
2016,Isaïa Cordinier,44,,,,,,
2016,Demetrius Jackson,45,Notre Dame,3,26,.087,-0.5,0.1
2016,A.J. Hammons,46,Purdue,1,22,-.001,-6.6,-0.2
2016,Jake Layman,47,Maryland,6,243,.059,-2.3,-0.2
2016,Paul Zipser,48,,2,98,-.001,-5.2,-1.4
2016,Michael Gbinije,49,Syracuse,1,9,-.136,-12.1,-0.1
2016,Georges Niang,50,Iowa State,7,381,.085,-1.2,1.2
2016,Ben Bentil,51,Providence,1,3,-.473,-25.9,-0.1
2016,Joel Bolomboy,52,Weber State,2,18,.132,-0.1,0.0
2016,Petr Cornelie,53,,1,13,-.015,-8.8,-0.1
2016,Kay Felder,54,Oakland,2,58,-.041,-4.7,-0.4
2016,Marcus Paige,55,UNC,1,5,-.006,-8.8,0.0
2016,Daniel Hamilton,56,UConn,2,25,.000,-3.3,-0.1
2016,Wang Zhelin,57,,,,,,
2016,Abdel Nader,58,Iowa State,5,202,.052,-2.6,-0.4
2016,Isaiah Cousins,59,Oklahoma,,,,,
2016,Tyrone Wallace,60,California,4,112,.003,-5.2,-1.4
2017,Markelle Fultz,1,Washington,6,189,.069,-1.1,1.2
2017,Lonzo Ball,2,UCLA,5,252,.067,1.1,6.3
2017,Jayson Tatum,3,Duke,6,438,.147,3.3,19.9
2017,Josh Jackson,4,Kansas,5,291,-.012,-3.8,-3.1
2017,De'Aaron Fox,5,Kentucky,6,394,.087,0.5,8.1
2017,Jonathan Isaac,6,Florida State,4,147,.093,0.3,2.1
2017,Lauri Markkanen,7,Arizona,6,348,.112,0.8,7.3
2017,Frank Ntilikina,8,,6,314,.004,-4.3,-3.1
2017,Dennis Smith Jr.,9,NC State,6,270,.004,-2.3,-0.5
2017,Zach Collins,10,Gonzaga,5,244,.075,-1.7,0.4
2017,Malik Monk,11,Kentucky,6,385,.054,-1.4,1.2
2017,Luke Kennard,12,Duke,6,355,.101,-0.2,3.7
2017,Donovan Mitchell,13,Louisville,6,413,.129,3.1,18.1
2017,Bam Adebayo,14,Kentucky,6,416,.167,2.6,14.4
2017,Justin Jackson,15,UNC,6,278,.052,-2.8,-1.0
2017,Justin Patton,16,Creighton,4,22,.066,-2.8,-0.1
2017,D.J. Wilson,17,Michigan,5,146,.075,-2.6,-0.3
2017,T.J. Leaf,18,UCLA,4,146,.104,-1.8,0.1
2017,John Collins,19,Wake Forest,6,363,.147,0.9,7.8
2017,Harry Giles,20,Duke,3,142,.079,-2.4,-0.2
2017,Terrance Ferguson,21,,4,204,.053,-4.0,-2.1
2017,Jarrett Allen,22,Texas,6,408,.189,1.9,11.0
2017,OG Anunoby,23,Indiana,6,367,.103,0.2,5.8
2017,Tyler Lydon,24,Syracuse,2,26,.084,-4.3,-0.1
2017,Anžejs Pasečņiks,25,,2,28,.038,-6.2,-0.5
2017,Caleb Swanigan,26,Purdue,3,75,-.015,-6.2,-0.7
2017,Kyle Kuzma,27,Utah,6,406,.057,-1.1,2.8
2017,Tony Bradley,28,UNC,6,179,.181,0.2,1.1
2017,Derrick White,29,Colorado,6,343,.120,1.4,7.9
2017,Josh Hart,30,Villanova,6,370,.100,0.0,5.2
2017,Frank Jackson,31,Duke,5,214,.031,-3.9,-1.9
2017,Davon Reed,32,Miami (FL),4,121,.054,-3.0,-0.3
2017,Wes Iwundu,33,Kansas State,5,226,.053,-3.9,-1.8
2017,Frank Mason III,34,Kansas,4,103,.035,-2.6,-0.3
2017,Ivan Rabb,35,California,2,85,.125,-1.7,0.1
2017,Jonah Bolden,36,,2,51,.098,-1.3,0.1
2017,Semi Ojeleye,37,SMU,5,284,.061,-3.4,-1.5
2017,Jordan Bell,38,Oregon,5,161,.121,0.2,1.1
2017,Jawun Evans,39,Oklahoma State,2,56,-.022,-5.4,-0.7
2017,Dwayne Bacon,40,Florida State,4,207,.010,-5.1,-3.1
2017,Tyler Dorsey,41,Oregon,3,107,.031,-3.0,-0.5
2017,Thomas Bryant,42,Indiana,6,228,.167,1.2,3.6
2017,Isaiah Hartenstein,43,,5,245,.163,1.0,2.9
2017,Damyean Dotson,44,Oregon,5,213,.034,-2.8,-0.9
2017,Dillon Brooks,45,Oregon,6,344,.034,-3.8,-4.5
2017,Sterling Brown,46,SMU,6,268,.071,-2.1,-0.1
2017,Ike Anigbogu,47,UCLA,2,14,.057,-1.1,0.0
2017,Sindarius Thornwell,48,South Carolina,4,160,.032,-3.1,-0.5
2017,Vlatko Čančar,49,,4,127,.087,-2.2,-0.1
2017,Mathias Lessort,50,,,,,,
2017,Monte Morris,51,Iowa State,6,342,.124,0.4,5.2
2017,Edmond Sumner,52,Xavier,5,160,.068,-3.0,-0.6
2017,Kadeem Allen,53,Arizona,3,47,.075,-1.2,0.1
2017,Alec Peters,54,Valparaiso,1,20,.055,-2.8,0.0
2017,Nigel Williams-Goss,55,Gonzaga,1,10,.017,-3.9,0.0
2017,Jabari Bird,56,California,1,13,.098,-3.1,0.0
2017,Sasha Vezenkov,57,,,,,,
2017,Ognjen Jaramaz,58,,,,,,
2017,Jaron Blossomgame,59,Clemson,1,27,.030,-3.8,-0.2
2017,Alpha Kaba,60,,,,,,
2018,Deandre Ayton,1,Arizona,5,302,.160,1.1,7.2
2018,Marvin Bagley III,2,Duke,5,206,.087,-1.9,0.1
2018,Luka Dončić,3,,5,329,.167,7.3,26.3
2018,Jaren Jackson Jr.,4,Michigan State,5,266,.126,0.6,4.8
2018,Trae Young,5,Oklahoma,5,352,.133,3.1,15.2
2018,Mo Bamba,6,Texas,5,273,.122,0.2,2.8
2018,Wendell Carter Jr.,7,Duke,5,259,.120,-0.2,3.2
2018,Collin Sexton,8,Alabama,5,266,.046,-2.3,-0.7
2018,Kevin Knox,9,Kentucky,5,272,.001,-4.5,-3.1
2018,Mikal Bridges,10,Villanova,5,390,.123,1.2,10.3
2018,Shai Gilgeous-Alexander,11,Kentucky,5,310,.137,3.1,13.1
2018,Miles Bridges,12,Michigan State,4,291,.091,-0.2,3.8
2018,Jerome Robinson,13,Boston College,3,113,-.003,-4.7,-1.1
2018,Michael Porter Jr.,14,Missouri,4,186,.138,1.4,4.1
2018,Troy Brown Jr.,15,Oregon,5,295,.062,-1.7,0.4
2018,Zhaire Smith,16,Texas Tech,2,13,.011,-6.1,-0.1
2018,Donte DiVincenzo,17,Villanova,5,271,.094,0.0,3.3
2018,Lonnie Walker IV,18,Miami (FL),5,263,.032,-2.8,-1.2
2018,Kevin Huerter,19,Maryland,5,348,.067,-0.8,3.1
2018,Josh Okogie,20,Georgia Tech,5,313,.061,-2.4,-0.6
2018,Grayson Allen,21,Duke,5,264,.103,-0.4,2.4
2018,Chandler Hutchison,22,Boise State,4,103,.030,-3.9,-0.9
2018,Aaron Holiday,23,UCLA,5,306,.052,-2.2,-0.3
2018,Anfernee Simons,24,,5,273,.049,-1.8,0.3
2018,Moritz Wagner,25,Michigan,5,252,.112,-0.8,1.2
2018,Landry Shamet,26,Wichita State,5,299,.081,-1.8,0.3
2018,Robert Williams,27,Texas A&M,5,208,.249,4.9,7.4
2018,Jacob Evans,28,Cincinnati,2,59,-.047,-7.4,-0.8
2018,Džanan Musa,29,,2,49,.003,-4.6,-0.4
2018,Omari Spellman,30,Villanova,2,95,.068,-1.5,0.2
2018,Elie Okobo,31,,2,108,.014,-4.1,-0.9
2018,Jevon Carter,32,West Virginia,5,302,.078,-0.9,1.4
2018,Jalen Brunson,33,Villanova,5,345,.136,1.0,7.0
2018,Devonte' Graham,34,Kansas,5,313,.075,-0.4,3.3
2018,Melvin Frazier,35,Tulane,3,32,-.062,-10.0,-0.6
2018,Mitchell Robinson,36,,5,288,.214,2.3,7.7
2018,Gary Trent Jr.,37,Duke,5,268,.086,-0.6,2.6
2018,Khyri Thomas,38,Creighton,3,39,.058,-2.7,-0.1
2018,Isaac Bonga,39,,4,143,.044,-3.6,-0.7
2018,Rodions Kurucs,40,,3,131,.052,-2.8,-0.4
2018,Jarred Vanderbilt,41,Kentucky,5,242,.137,0.4,3.0
2018,Bruce Brown,42,Miami (FL),5,347,.094,-0.9,2.4
2018,Justin Jackson,43,Maryland,,,,,
2018,Issuf Sanon,44,,,,,,
2018,Hamidou Diallo,45,Kentucky,5,263,.060,-2.1,-0.2
2018,De'Anthony Melton,46,USC,5,311,.082,0.7,4.6
2018,Svi Mykhailiuk,47,Kansas,5,250,.039,-2.4,-0.4
2018,Keita Bates-Diop,48,Ohio State,5,227,.073,-1.8,0.2
2018,Chimezie Metu,49,USC,5,207,.073,-1.8,0.1
2018,Alize Johnson,50,Missouri State,5,76,.108,-2.4,-0.1
2018,Tony Carr,51,Penn State,,,,,
2018,Vince Edwards,52,Purdue,1,2,-.014,-6.4,0.0
2018,Devon Hall,53,Virginia,1,11,-.116,-6.7,-0.1
2018,Shake Milton,54,SMU,5,251,.089,-1.8,0.2
2018,Arnoldas Kulboka,55,,1,2,-.217,-21.8,0.0
2018,Ray Spalding,56,Louisville,2,16,.024,-6.2,-0.2
2018,Kevin Hervey,57,UT Arlington,1,10,-.085,-5.1,0.0
2018,Thomas Welsh,58,UCLA,1,11,.162,1.2,0.0
2018,George King,59,Colorado,2,5,-.225,-17.2,-0.1
2018,Kostas Antetokounmpo,60,Dayton,3,22,-.098,-9.9,-0.2
2019,Zion Williamson,1,Duke,3,114,.187,5.1,6.6
2019,Ja Morant,2,Murray State,4,247,.119,2.8,9.7
2019,RJ Barrett,3,Duke,4,269,.043,-2.4,-0.9
2019,De'Andre Hunter,4,Virginia,4,204,.041,-3.4,-2.3
2019,Darius Garland,5,Vanderbilt,4,250,.078,-0.2,3.8
2019,Jarrett Culver,6,Texas Tech,4,144,-.001,-4.5,-1.6
2019,Coby White,7,UNC,4,267,.057,-2.1,-0.1
2019,Jaxson Hayes,8,Texas,4,241,.165,0.0,2.0
2019,Rui Hachimura,9,Gonzaga,4,208,.060,-2.7,-0.9
2019,Cam Reddish,10,Duke,4,173,.022,-3.2,-1.3
2019,Cameron Johnson,11,UNC,4,224,.123,1.4,4.8
2019,P.J. Washington,12,Kentucky,4,260,.064,-1.0,2.0
2019,Tyler Herro,13,Kentucky,4,240,.065,-0.3,3.4
2019,Romeo Langford,14,Indiana,4,138,.045,-3.3,-0.7
2019,Sekou Doumbouya,15,,3,96,-.013,-6.5,-1.8
2019,Chuma Okeke,16,Auburn,3,139,.060,-0.8,1.0
2019,Nickeil Alexander-Walker,17,Virginia Tech,4,215,.019,-2.4,-0.4
2019,Goga Bitadze,18,,4,184,.116,-0.9,0.6
2019,Luka Šamanić,19,,3,40,.027,-4.0,-0.2
2019,Matisse Thybulle,20,Washington,4,267,.097,0.7,3.8
2019,Brandon Clarke,21,Gonzaga,4,237,.189,2.8,6.1
2019,Grant Williams,22,Tennessee,4,286,.097,-1.6,0.6
2019,Darius Bazley,23,,4,226,.024,-2.5,-0.7
2019,Ty Jerome,24,Virginia,4,157,.068,-1.6,0.3
2019,Nassir Little,25,UNC,4,192,.060,-2.5,-0.4
2019,Dylan Windler,26,Belmont,3,84,.064,-1.7,0.1
2019,Mfiondu Kabengele,27,Florida State,3,53,.054,-3.4,-0.1
2019,Jordan Poole,28,Michigan,4,264,.067,-1.6,0.7
2019,Keldon Johnson,29,Kentucky,4,223,.076,-1.1,1.5
2019,Kevin Porter Jr.,30,USC,4,195,.031,-1.6,0.6
2019,Nic Claxton,31,Georgia,4,169,.179,1.8,3.9
2019,KZ Okpala,32,Stanford,4,98,.050,-4.7,-0.7
2019,Carsen Edwards,33,Purdue,3,72,.019,-5.1,-0.5
2019,Bruno Fernando,34,Maryland,4,157,.064,-3.6,-0.6
2019,Didi Louzada,35,,2,12,-.034,-8.1,-0.3
2019,Cody Martin,36,Nevada,4,178,.078,-1.4,0.6
2019,Deividas Sirvydis,37,,2,23,-.032,-5.9,-0.2
2019,Daniel Gafford,38,Arkansas,4,246,.186,1.0,3.4
2019,Alen Smailagić,39,,2,29,.056,-3.3,-0.1
2019,Justin James,40,Wyoming,2,72,.024,-3.1,-0.2
2019,Eric Paschall,41,Villanova,3,158,.078,-2.2,-0.1
2019,Admiral Schofield,42,Tennessee,3,105,.054,-4.2,-0.7
2019,Jaylen Nowell,43,Washington,4,184,.074,-1.6,0.3
2019,Bol Bol,44,Oregon,4,120,.072,-1.0,0.4
2019,Isaiah Roby,45,Nebraska,4,151,.068,-2.3,-0.2
2019,Talen Horton-Tucker,46,Iowa State,4,196,.047,-2.1,-0.1
2019,Ignas Brazdeikis,47,Michigan,3,64,.024,-4.9,-0.6
2019,Terance Mann,48,Florida State,4,268,.120,-0.4,2.3
2019,Quinndary Weatherspoon,49,Mississippi State,3,42,.030,-5.5,-0.2
2019,Jarrell Brantley,50,College of Charleston,3,41,.108,0.0,0.1
2019,Tremont Waters,51,LSU,3,40,.012,-3.0,-0.1
2019,Jalen McDaniels,52,San Diego State,4,195,.070,-2.6,-0.7
2019,Justin Wright-Foreman,53,Hofstra,1,4,-.008,-9.0,-0.1
2019,Marial Shayok,54,Iowa State,1,4,-.130,-13.0,-0.1
2019,Kyle Guy,55,Virginia,3,53,.006,-4.9,-0.3
2019,Jaylen Hands,56,UCLA,,,,,
2019,Jordan Bone,57,Tennessee,2,24,.010,-5.9,-0.2
2019,Miye Oni,58,Yale,3,80,.070,-2.5,-0.1
2019,Dewan Hernandez,59,Miami (FL),1,6,.043,-9.6,-0.1
2019,Vanja Marinković,60,,,,,,
2020,Anthony Edwards,1,Georgia,3,221,.056,0.1,3.9
2020,James Wiseman,2,Memphis,2,82,.061,-4.2,-0.9
2020,LaMelo Ball,3,,3,162,.097,2.7,6.1
2020,Patrick Williams,4,Florida State,3,168,.069,-1.8,0.2
2020,Isaac Okoro,5,Auburn,3,210,.077,-2.6,-0.8
2020,Onyeka Okongwu,6,USC,3,176,.186,0.5,2.1
2020,Killian Hayes,7,,3,166,-.017,-4.4,-2.7
2020,Obi Toppin,8,Dayton,3,199,.120,0.4,1.8
2020,Deni Avdija,9,,3,212,.053,-2.3,-0.4
2020,Jalen Smith,10,Maryland,3,146,.105,-1.7,0.1
2020,Devin Vassell,11,Florida State,3,171,.070,-0.5,1.5
2020,Tyrese Haliburton,12,Iowa State,3,191,.138,3.6,9.0
2020,Kira Lewis Jr.,13,Alabama,3,103,.043,-3.1,-0.4
2020,Aaron Nesmith,14,Vanderbilt,3,169,.053,-3.3,-1.0
2020,Cole Anthony,15,UNC,3,171,.053,-1.0,1.2
2020,Isaiah Stewart,16,Washington,3,189,.096,-2.2,-0.3
2020,Aleksej Pokusevski,17,,3,140,-.010,-3.2,-1.0
2020,Josh Green,18,Arizona,3,166,.088,-2.1,-0.1
2020,Saddiq Bey,19,Villanova,3,227,.078,-0.4,2.7
2020,Precious Achiuwa,20,Memphis,3,187,.079,-2.9,-0.8
2020,Tyrese Maxey,21,Kentucky,3,196,.125,0.2,3.2
2020,Zeke Nnaji,22,Arizona,3,133,.119,-2.5,-0.2
2020,Leandro Bolmaro,23,,2,49,-.048,-7.8,-0.5
2020,R.J. Hampton,24,,3,160,.014,-3.7,-1.3
2020,Immanuel Quickley,25,Kentucky,3,221,.126,1.0,4.0
2020,Payton Pritchard,26,Oregon,3,183,.099,-0.6,1.0
2020,Udoka Azubuike,27,Kansas,3,65,.136,-1.5,0.1
2020,Jaden McDaniels,28,Washington,3,210,.068,-2.4,-0.5
2020,Malachi Flynn,29,San Diego State,3,142,.050,-2.8,-0.4
2020,Desmond Bane,30,TCU,3,201,.136,2.0,5.7
2020,Tyrell Terry,31,Stanford,2,13,-.035,-4.8,0.0
2020,Vernon Carey Jr.,32,Duke,3,37,.058,-6.3,-0.2
2020,Daniel Oturu,33,Minnesota,2,33,.086,-5.2,-0.2
2020,Théo Maledon,34,,3,158,.002,-4.4,-2.1
2020,Xavier Tillman Sr.,35,Michigan State,3,172,.142,0.8,2.1
2020,Tyler Bey,36,Colorado,1,18,-.033,-9.5,-0.1
2020,Vit Krejci,37,,2,58,.042,-4.8,-0.6
2020,Saben Lee,38,Vanderbilt,3,108,.084,-1.4,0.2
2020,Elijah Hughes,39,Syracuse,2,54,-.039,-6.4,-0.5
2020,Robert Woodard II,40,Mississippi State,2,25,-.077,-7.7,-0.1
2020,Tre Jones,41,Duke,3,171,.090,-1.2,0.7
2020,Nick Richards,42,Kentucky,3,131,.148,-2.1,0.0
2020,Jahmi'us Ramsey,43,Texas Tech,2,32,-.023,-5.9,-0.2
2020,Marko Simonovic,44,,2,15,-.040,-12.7,-0.1
2020,Jordan Nwora,45,Louisville,3,152,.045,-2.9,-0.6
2020,CJ Elleby,46,Washington State,2,88,.018,-5.2,-1.1
2020,Yam Madar,47,,,,,,
2020,Nico Mannion,48,Arizona,1,30,.029,-3.9,-0.2
2020,Isaiah Joe,49,Arkansas,3,168,.098,-1.2,0.5
2020,Skylar Mays,50,LSU,3,64,.126,0.8,0.4
2020,Justinian Jessup,51,Boise State,,,,,
2020,Kenyon Martin Jr.,52,,3,204,.095,-1.1,1.1
2020,Cassius Winston,53,Michigan State,2,29,.051,-4.9,-0.1
2020,Cassius Stanley,54,Duke,2,33,-.006,-7.9,-0.4
2020,Jay Scrubb,55,John A. Logan College,3,23,-.024,-7.2,-0.3
2020,Grant Riller,56,College of Charleston,1,7,.177,5.1,0.0
2020,Reggie Perry,57,Mississippi State,2,36,.048,-5.5,-0.3
2020,Paul Reed,58,DePaul,3,130,.187,0.3,0.7
2020,Jalen Harris,59,Nevada,1,13,.079,0.3,0.1
2020,Sam Merrill,60,Utah State University,3,39,.081,-2.5,0.0
2021,Cade Cunningham,1,Oklahoma State,2,76,-.012,-1.5,0.3
2021,Jalen Green,2,,2,141,.024,-2.5,-0.6
2021,Evan Mobley,3,USC,2,147,.131,1.2,4.0
2021,Scottie Barnes,4,Florida State,2,149,.108,0.7,3.6
2021,Jalen Suggs,5,Gonzaga,2,98,-.008,-3.5,-1.0
2021,Josh Giddey,6,,2,129,.050,0.2,2.3
2021,Jonathan Kuminga,7,,2,135,.097,-1.8,0.1
2021,Franz Wagner,8,Michigan,2,157,.090,-0.4,2.1
2021,Davion Mitchell,9,Baylor,2,154,.024,-3.3,-1.2
2021,Ziaire Williams,10,Stanford,2,98,.057,-3.9,-0.9
2021,James Bouknight,11,UConn,2,63,-.014,-6.2,-0.8
2021,Joshua Primo,12,Alabama,2,54,-.006,-5.1,-0.8
2021,Chris Duarte,13,Oregon,2,101,.018,-3.1,-0.7
2021,Moses Moody,14,Arkansas,2,113,.080,-2.7,-0.2
2021,Corey Kispert,15,Gonzaga,2,149,.073,-2.0,0.0
2021,Alperen Şengün,16,,2,145,.095,0.4,2.2
2021,Trey Murphy III,17,Virginia,2,139,.135,0.9,2.4
2021,Tre Mann,18,Florida,2,125,.007,-4.3,-1.5
2021,Kai Jones,19,Texas,2,65,.058,-4.5,-0.4
2021,Jalen Johnson,20,Duke,2,90,.089,-0.5,0.4
2021,Keon Johnson,21,Tennessee,2,77,-.039,-5.7,-1.0
2021,Isaiah Jackson,22,Kentucky,2,97,.127,-0.9,0.4
2021,Usman Garuba,23,,2,97,.097,-1.0,0.3
2021,Josh Christopher,24,Arizona State,2,136,.009,-3.7,-0.9
2021,Quentin Grimes,25,Houston,2,115,.102,-0.2,1.3
2021,Bones Hyland,26,VCU,2,123,.078,-0.5,0.9
2021,Cam Thomas,27,LSU,2,123,.037,-3.2,-0.6
2021,Jaden Springer,28,Tennessee,2,16,.150,2.3,0.1
2021,Day'Ron Sharpe,29,UNC,2,78,.141,-2.6,-0.1
2021,Santi Aldama,30,Loyola (MD),2,109,.115,-0.6,0.7
2021,Isaiah Todd,31,,2,17,-.137,-8.9,-0.2
2021,Jeremiah Robinson-Earl,32,Villanova,2,90,.086,-1.8,0.1
2021,Jason Preston,33,Ohio University,1,13,.021,-2.5,0.0
2021,Rokas Jokubaitis,34,,,,,,
2021,Herbert Jones,35,Alabama,2,142,.098,-0.5,1.6
2021,Miles McBride,36,West Virginia,2,102,.042,-3.0,-0.3
2021,JT Thor,37,Auburn,2,100,.022,-4.3,-0.7
2021,Ayo Dosunmu,38,Illinois,2,155,.068,-2.2,-0.2
2021,Neemias Queta,39,Utah State University,2,19,.070,-4.7,-0.1
2021,Jared Butler,40,Baylor,2,46,.059,-1.6,0.0
2021,Joe Wieskamp,41,Iowa,2,36,.032,-4.2,-0.1
2021,Isaiah Livers,42,Michigan,2,71,.051,-2.2,-0.1
2021,Greg Brown III,43,Texas,2,64,.017,-5.1,-0.6
2021,Kessler Edwards,44,Pepperdine,2,82,.034,-3.9,-0.6
2021,Juhann Begarin,45,,,,,,
2021,Dalano Banton,46,Nebraska,2,93,.035,-2.7,-0.2
2021,David Johnson,47,Louisville,1,2,-.495,-27.7,0.0
2021,Sharife Cooper,48,Auburn,1,13,-.297,-16.3,-0.1
2021,Marcus Zegarowski,49,Creighton,,,,,
2021,Filip Petrušev,50,Gonzaga,,,,,
2021,Brandon Boston Jr.,51,Kentucky,2,72,.030,-3.1,-0.3
2021,Luka Garza,52,Iowa,2,59,.139,-1.5,0.1
2021,Charles Bassey,53,Western Kentucky,2,58,.147,0.8,0.5
2021,Sandro Mamukelashvili,54,Seton Hall,2,81,.091,-1.7,0.1
2021,Aaron Wiggins,55,Maryland,2,118,.070,-3.3,-0.8
2021,Scottie Lewis,56,Florida,1,2,.164,6.0,0.0
2021,Balša Koprivica,57,Florida State,,,,,
2021,Jericho Sims,58,Texas,2,92,.144,-1.0,0.3
2021,RaiQuan Gray,59,Florida State,,,,,
2021,Georgios Kalaitzakis,60,,1,13,-.024,-7.0,-0.3
